X Men series
A Beautiful Mind
Memoirs Of  Geisha
Drowning Love movie
World War Z
San Andreas Rock
The Last Samurai
Unbroken or whatever
Hacksaw Ridge film
The Great Fountain 
The Green Mile
Cast Away Hanks
The Boy Pyjamas
The Bucket List
The Maze Runner
Inception Leo Dicaprio
The Truman Show
The Shawshank Redmption
